niche,keyword,region,timeframe,score,sources,seeds,source,score_norm
arte_diseno,color theory wheel,es,now 7-d,100.0,gtrends_top,color theory,gtrends_top,2.0160853408317094
arte_diseno,curso ilustracion digital,es,now 7-d,100.0,gtrends_top,ilustracion digital,gtrends_top,2.0160853408317094
arte_diseno,tipografia letras,es,now 7-d,100.0,gtrends_top,tipografia,gtrends_top,2.0160853408317094
arte_diseno,tipografia letra,es,now 7-d,86.0,gtrends_top,tipografia,gtrends_top,1.5530652917687864
arte_diseno,que tipografia es,es,now 7-d,77.0,gtrends_top,tipografia,gtrends_top,1.2554095459426218
arte_diseno,employer branding,es,now 7-d,59.0,gtrends_top,branding,gtrends_top,0.6600980542902923
arte_diseno,tipografias,es,now 7-d,59.0,gtrends_top,tipografia,gtrends_top,0.6600980542902923
arte_diseno,totem branding,es,now 7-d,28250.0,gtrends_rising,branding,gtrends_rising,0.6034323457265187
arte_diseno,freepik,es,now 7-d,22050.0,gtrends_rising,branding,gtrends_rising,0.3960471781452888
arte_diseno,tipografia google,es,now 7-d,50.0,gtrends_top,tipografia,gtrends_top,0.36244230846412756
arte_diseno,dafont,es,now 7-d,46.0,gtrends_top,tipografia,gtrends_top,0.23015086587472103
arte_diseno,tipografia de letras,es,now 7-d,44.0,gtrends_top,tipografia,gtrends_top,0.16400514458001775
arte_diseno,buscador de tipografias,es,now 7-d,9550.0,gtrends_rising,tipografia,gtrends_rising,-0.02206807907493289
arte_diseno,convertir foto en dibujo a lapiz,es,now 7-d,36.0,gtrends_top,dibujo a lapiz,gtrends_top,-0.10057774059879535
arte_diseno,personal branding,es,now 7-d,32.0,gtrends_top,branding,gtrends_top,-0.2328691831882019
arte_diseno,branding digital,es,now 7-d,31.0,gtrends_top,branding,gtrends_top,-0.26594204383555353
arte_diseno,tipografia copia y pega,es,now 7-d,250.0,gtrends_rising,tipografia,gtrends_rising,-0.3331458304467778
arte_diseno,re branding,es,now 7-d,150.0,gtrends_rising,branding,gtrends_rising,-0.3364907525045396
arte_diseno,agencia branding barcelona,es,now 7-d,120.0,gtrends_rising,branding,gtrends_rising,-0.3374942291218681
arte_diseno,branding day bilbao,es,now 7-d,110.0,gtrends_rising,branding,gtrends_rising,-0.3378287213276443
arte_diseno,world employer branding day,es,now 7-d,110.0,gtrends_rising,branding,gtrends_rising,-0.3378287213276443
arte_diseno,tipografia bonita,es,now 7-d,100.0,gtrends_rising,tipografia,gtrends_rising,-0.3381632135334205
arte_diseno,tipografia romana,es,now 7-d,90.0,gtrends_rising,tipografia,gtrends_rising,-0.3384977057391967
arte_diseno,estudio de branding,es,now 7-d,80.0,gtrends_rising,branding,gtrends_rising,-0.3388321979449728
arte_diseno,paisaje dibujo a lapiz,es,now 7-d,80.0,"gtrends_rising,gtrends_top",dibujo a lapiz,gtrends_rising,-0.3388321979449728
arte_diseno,agencia de branding,es,now 7-d,53.0,"gtrends_rising,gtrends_top",branding,gtrends_rising,-0.3397353269005685
arte_diseno,employer branding definicion,es,now 7-d,50.0,gtrends_rising,branding,gtrends_rising,-0.33983567456230135
arte_diseno,tipografia bauhaus,es,now 7-d,50.0,gtrends_rising,tipografia,gtrends_rising,-0.33983567456230135
arte_diseno,tipografia garamond,es,now 7-d,50.0,gtrends_rising,tipografia,gtrends_rising,-0.33983567456230135
arte_diseno,tipografia tatuajes,es,now 7-d,50.0,gtrends_rising,tipografia,gtrends_rising,-0.33983567456230135
arte_diseno,tipografia vasca,es,now 7-d,50.0,gtrends_rising,tipografia,gtrends_rising,-0.33983567456230135
arte_diseno,branding day,es,now 7-d,32.0,"gtrends_rising,gtrends_top",branding,gtrends_rising,-0.3404377605326985
arte_diseno,branding agency,es,now 7-d,16.0,gtrends_top,branding,gtrends_top,-0.7620349535458281
arte_diseno,master branding,es,now 7-d,14.0,gtrends_top,branding,gtrends_top,-0.8281806748405314
arte_diseno,qué es branding,es,now 7-d,13.0,gtrends_top,branding,gtrends_top,-0.861253535487883
arte_diseno,dibujo a lapiz facil,mx,now 7-d,100.0,gtrends_top,dibujo a lapiz,gtrends_top,2.1281136921001496
arte_diseno,tipografia letras,mx,now 7-d,100.0,gtrends_top,tipografia,gtrends_top,2.1281136921001496
