videoId,title,region,niche,content_type,views,likes,comments,engagement_rate,seconds,publishedAt,categoryTitle,tags,source
ko70cExuzZM,Taylor Swift - The Fate of Ophelia (Official Music Video),ES,,Video,40393263,1222986,56441,0.0316742670677533,239.0,2025-10-05T23:00:06Z,Music,"new taylor swift,showgirl,swift,taylor,taylor swift,taylor swift album,taylor swift tloas,the life of a showgirl,ts12",yt_mostPopular
EN1tMeXQii0,JISOO X ZAYN - EYES CLOSED (OFFICIAL MV),ES,,Video,8603486,1390074,101017,0.1733124224296988,192.0,2025-10-10T04:00:06Z,Music,"blackpink,blink,blissoo,eyes closed,jisoo,k-po​p,musicvideo,mv,yg,yg entertainment,zayn,블랙핑크,블링크,블핑,와이지,지수",yt_mostPopular
wlHwjkYpSr0,BABYMONSTER - ‘WE GO UP’ M/V,ES,,Video,7278945,633313,49646,0.0938266465813383,203.0,2025-10-10T04:00:08Z,Music,"ahyeon,asa,babymon,babymonster,baemon,chiquita,haram,pharita,rora,ruka,로라,루카,베몬,베이비몬스터,아사,아현,치키타,파리타,하람",yt_mostPopular
Ri2wNyvSpiY,The Mighty Nein - Official Trailer | Prime Video,ES,,Video,3636157,48214,2950,0.0140708995788685,120.0,2025-10-09T15:25:55Z,Entertainment,"adventure series,adventure show,amazon,amazon prime,critical role,critical role mighty nein,critical role the mighty nein,fantasy series,fantasy show,matt mercer,matthew mercer,official trailer,prime,prime video,prime video official trailer,prime video the mighty nein,prime video trailer,the mighty nein,the mighty nein animated series,the mighty nein critical rle,the mighty nein official trailer,the mighty nein prime video,the mighty nein trailer",yt_mostPopular
snsgMfKxu5g,Usé SUERTE INFINITA en 2 FILAS de CHICOS vs CHICAS en Steal a Brainrot,ES,,Video,3174507,18695,1716,0.0064296597865432,2082.0,2025-10-08T23:57:25Z,Gaming,"base brainrot,brainrot,brainrot roblox,brainrot secreto,flex roblox,nueva base,roba un brainrot,roblox,soyneto,steal a brainrot,zeer",yt_mostPopular
YIbqlUnoM04,Fede Vigevani Ft. Vecibanda - Película de Amor (Video Oficial),ES,,Video,2249209,223333,55890,0.1241427541860271,181.0,2025-10-10T00:30:06Z,Music,"beta,fede,fede canción,fede canción vecinos,fede vecinos,fede vigevani,fede y sus vecinos,no somos lobos,nueva canción,payasos de la deep web,película de amor,vecibanda",yt_mostPopular
zqorlX_5oHQ,TWICE “ME+YOU” M/V,ES,,Video,2153203,343492,22506,0.1699783996214012,248.0,2025-10-10T03:58:07Z,Music,"jyp,jyp entertainment,me+you,ten: the story goes on,twice,twice 10th anniversary,트와이스",yt_mostPopular
c6_4szhYNbA,GLITCH DIRECT 2025,ES,,Video,1679068,249985,22680,0.1623906834029354,782.0,2025-10-10T19:00:06Z,Film & Animation,"3d,3d animation,animation,bubble,caine,digital circus,gangle,gaslight district,glitch,glitch productions,gummigoo,indie animation,jax,kinger,knights of guinevere,murder drones,pomni,ragatha,the amazing digital circus,uzi,zooble",yt_mostPopular
Dt5zw0x9DTA,La Rosa de Steal a Brainrot ep.1 T2 YT,ES,,Video,1282408,20408,3853,0.0189183161677094,146.0,2025-10-09T23:00:06Z,Gaming,"la rosa de sab,la rosa de steal a brainrot,roblox,tioburguito",yt_mostPopular
nihTWZUZ9ek,CUANTO DURARA MI BASE CHETADA DE ROBA UN BRAINROT EN UN SERVER PUBLICO!🧑‍🧑‍🧒‍🧒,ES,,Shorts,1272400,39711,3075,0.0336262181703866,1558.0,2025-10-09T17:30:12Z,Gaming,"abrahaham,abrahahamflores,antes vs ahora,copilacion,directos,divertido,elabrahaham,entretenimiento,gamer,gracioso,mexico vs usa,reaccion,reacciones,risa,shorts,stream,streams,tiktoks,twitch,videojuegos,videos graciosos",yt_mostPopular
gMFS2ulSSMk,¡Adopte a TODOS los ANIMALES de 99 NOCHES! 💀🦌🩷 SILVIOGAMER en 99 Noches en el Bosque,ES,,Video,1170945,78911,2726,0.0697189022541622,1792.0,2025-10-09T22:35:36Z,Gaming,"1000 dias,1500 dias,1500 noches,99 days,99 days roblox,99 dias,99 dias en el bosque,99 dias roblox,99 noches,99 noches en el bosque,adopte,animales,bosque roblox,dias,roblox,roblox 99 dias,roblox 99 noches,roblox silvio,silvio,silvio gamer,silvio gamer roblox,silvio roblox,silviogamer,silviogamer roblox,sobrevivi,sobrevivimos,sobrevivimos 1000 noches,sobrevivimos 99 dias,sobrevivimos 99 noches,sobreviví,todos",yt_mostPopular
XFRBy-6rH_k,Nadie Intentó Esto en Skate 4,ES,,Video,1125550,66013,975,0.0595157922793301,1057.0,2025-10-09T16:39:58Z,Gaming,"2025,alto,altura,bug,caida,challenge,divertido,edificio,el mas alto,elrubius,escalar,imposible,imposibles,juego,mejor,montaje,nuevo,patin,patinete,rampa,reto,retos,rubius,rubius juega skate 4,skate,skate 4,skate.,skater,subir,trucos",yt_mostPopular
SpIULqcaBko,Construí un ZOO de BRAINROTS TERRORÍFICOS en Minecraft!,ES,,Video,970616,11382,566,0.0123097084737939,1396.0,2025-10-09T18:33:23Z,Gaming,"amigos minecraft,dagar minecraft,dagar y nacho,minecraft,minecraft dagar,minecraft mod,nacho y dagar",yt_mostPopular
6JIv1l96zN0,Gorillaz - The Manifesto ft. Trueno & Proof (Official Visualiser),ES,,Video,844490,90422,6537,0.1148136745254532,440.0,2025-10-08T16:00:09Z,Music,,yt_mostPopular
8WyoMmXjLHE,"Genshin Impact Version ""Luna II"" Special Program #GenshinImpact #SpecialProgram #GenshinLunaII",ES,,Video,840152,57363,4586,0.0737354669155105,2866.0,2025-10-10T12:00:06Z,Gaming,,yt_mostPopular
ddJb64Lbuy4,Amours Brisées Saison 2   -Bande Annonce,ES,,Video,775368,31253,671,0.0411727076691325,279.0,2025-10-07T22:00:52Z,Entertainment,"amours brisés,baabel,babel,babel saison 1,babel saison 2,cœurs brisés,evenprod,famille sénégalaise,lady diamand,lady diamant,marodi,serie senegal,serie senegalaise,tabou gueye",yt_mostPopular
AlABOZhCCqU,Fortnitemares 2025 Gameplay Trailer,ES,,Shorts,731955,26958,2294,0.0399642054497885,30.0,2025-10-09T08:00:07Z,Gaming,yt:cc=on,yt_mostPopular
d28Sfzt9rpA,HACKER SE UNE A ROBA UN BRAINROT💀😰 COSAS QUE NO HAN SALIDO😱,ES,,Video,730624,52777,2240,0.0753013862123335,695.0,2025-10-09T21:00:06Z,Gaming,,yt_mostPopular
y4oGfU13vr8,Cristi Dules ❌ Andrada Cerna - Mă suni noaptea pe la 3 (Official Video),ES,,Video,724094,5288,522,0.0080238201117534,178.0,2025-10-04T09:00:07Z,Music,"#andradacerna,#cristidules,#maneanouă,#masuninoapteapela3,#newmusic,#newrelease,#partymanea,#tiktokhit,#trendingnow,#youtubetrending,alex botea,andrada cerna,bage noaptea pe la 3,clip oficial,cristi dules,cântec de dragoste,hit manea,hit românesc,hit viral 2025,leo de la roșiori,luis gabriel,manea,manea 2025,muzică de petrecere,mă suni noaptea pe la 3,mă suni noaptea pe la 3 2025,piesă nouă,piesă virală,s-a lipit ca lipitoarea,tzanca uraganu,viral tiktok",yt_mostPopular
zRJ6q_MbSSA,Beéle - quédate (Letra/Lyrics),ES,,Video,677093,944,4,0.0014001030877589,177.0,2025-10-06T18:00:57Z,Music,"beele,beele letra,beele quedate,beele quedate letra,beéle,beéle - quédate,beéle letra,beéle quédate,beéle quédate letra,beéle quédate letra lyrics,beéle quédate lyrics,cómo quisiera que estuvieras aquí,letra beele quédate,letra beéle quédate,letra for quédate by beéle,letra quédate,letra quédate beéle,lyric,quedate beele,quedate beele letra,quédate,quédate beéle,quédate letra,quédate letra beele,quédate letra beéle,quédate quédate,ven quédate quédate",yt_mostPopular
nBbLTDdtlSc,"Marvel Studios' Wonder Man - Official Teaser Trailer (2026) Yahya Abdul-Mateen II, Ben Kingsley",ES,,Video,632272,17279,1488,0.0296818457878887,63.0,2025-10-10T16:40:13Z,Entertainment,"action,disney plus,marvel,marvel studios wonder man,marvel wonder man,marvel wonder man trailer,mcu,on-demand,wonder man,wonder man first trailer,wonder man marvel,wonder man mcu,wonder man movie marvel,wonder man new trailer,wonder man teaser,wonder man teaser trailer,wonder man teaser trailer disney,wonder man teaser trailer marvel,wonder man trailer,yahya abdul-mateen ii",yt_mostPopular
